Date,Open,High,Low,Close,Adj Close,Volume
2013-04-08,40.549999,41.299999,40.500000,41.299999,38.602291,944100
2013-04-09,41.549999,41.869999,41.389999,41.599998,38.882698,1744900
2013-04-10,41.730000,42.150002,41.580002,41.990002,39.247234,1877000
2013-04-11,42.189999,42.369999,42.080002,42.209999,39.452843,1702600
2013-04-12,42.070000,42.590000,41.980000,42.590000,39.808029,1123100
2013-04-15,42.200001,42.240002,40.549999,40.709999,38.050831,4070100
2013-04-16,41.200001,41.750000,41.119999,41.750000,39.022900,2480000
2013-04-17,41.419998,41.560001,40.830002,41.130001,38.443398,1635200
2013-04-18,41.240002,41.389999,40.549999,40.810001,38.144291,1993900
2013-04-19,40.910000,41.430000,40.709999,41.340000,38.639679,1267800
2013-04-22,41.380001,41.560001,41.029999,41.330002,38.630337,1456000
2013-04-23,41.509998,41.939999,41.490002,41.869999,39.135052,1744400
2013-04-24,41.980000,42.060001,41.389999,41.430000,38.723797,1729800
2013-04-25,41.720001,41.919998,41.590000,41.639999,38.920078,2066600
2013-04-26,41.529999,42.000000,41.480000,41.570000,38.854645,2228700
2013-04-29,41.500000,41.669998,41.209999,41.619999,38.901386,1661400
2013-04-30,41.799999,43.130001,41.799999,43.060001,40.247334,3683900
2013-05-01,42.459999,42.910000,42.290001,42.480000,39.705219,2508200
2013-05-02,42.570000,42.959999,41.450001,42.840000,40.041702,3229800
2013-05-03,43.250000,43.560001,42.869999,43.009998,40.200596,2589500
2013-05-06,43.000000,43.270000,42.939999,43.110001,40.294064,1826300
2013-05-07,43.209999,43.709999,43.209999,43.540001,40.695976,1217300
2013-05-08,43.340000,43.700001,43.220001,43.490002,40.649235,1657900
2013-05-09,43.509998,43.639999,43.130001,43.230000,40.406223,1710100
2013-05-10,43.349998,43.970001,43.240002,43.970001,41.097893,1762100
2013-05-13,43.919998,43.930000,43.599998,43.630001,40.780094,1438300
2013-05-14,43.650002,44.000000,43.610001,43.959999,41.088535,1986200
2013-05-15,43.910000,44.450001,43.740002,43.970001,41.097893,3448500
2013-05-16,43.860001,43.939999,43.130001,43.189999,40.368832,1089600
2013-05-17,43.320000,43.840000,43.320000,43.730000,40.873558,1786800
2013-05-20,43.689999,43.840000,43.310001,43.360001,40.527733,1355400
2013-05-21,43.369999,43.709999,43.220001,43.480000,40.639896,1282700
2013-05-22,43.340000,43.820000,42.549999,42.770000,40.133190,1622900
2013-05-23,42.349998,43.160000,42.320000,42.580002,39.954906,1889000
2013-05-24,42.380001,42.860001,42.139999,42.770000,40.133190,1442900
2013-05-28,43.250000,43.549999,43.080002,43.230000,40.564823,1394300
2013-05-29,42.910000,43.080002,42.259998,42.330002,39.720314,1546500
2013-05-30,42.480000,42.910000,42.380001,42.520000,39.898594,1521300
2013-05-31,42.419998,42.840000,42.009998,42.009998,39.420044,2352200
2013-06-03,42.349998,42.389999,41.540001,42.200001,39.598335,2129300
2013-06-04,42.130001,42.230000,40.400002,40.410000,37.918686,4192200
2013-06-05,40.240002,40.880001,40.090000,40.389999,37.899914,3339900
2013-06-06,40.330002,41.020000,40.090000,41.009998,38.481693,1936400
2013-06-07,41.240002,41.700001,41.099998,41.660000,39.091614,2058800
2013-06-10,41.700001,41.889999,41.380001,41.480000,38.922710,2003800
2013-06-11,41.009998,41.230000,40.590000,40.840000,38.322170,1778700
2013-06-12,41.130001,41.410000,40.279999,40.590000,38.087585,2219800
2013-06-13,40.540001,41.180000,40.259998,41.090000,38.556770,1751000
2013-06-14,41.080002,41.540001,40.590000,40.770000,38.256493,1352700
2013-06-17,41.020000,41.119999,40.529999,40.660000,38.153271,2472600
2013-06-18,40.660000,41.099998,40.570000,40.820000,38.303406,2055200
2013-06-19,40.779999,41.070000,40.410000,40.419998,37.928059,2794200
2013-06-20,39.980000,40.000000,38.980000,39.049999,36.642525,2795600
2013-06-21,39.349998,39.540001,38.169998,38.930000,36.529922,4642400
2013-06-24,38.500000,39.139999,38.230000,38.709999,36.323494,2635400
2013-06-25,39.279999,39.419998,38.889999,39.349998,36.924026,2193900
2013-06-26,39.700001,39.840000,39.419998,39.450001,37.017860,2481300
2013-06-27,39.730000,40.410000,39.630001,40.250000,37.768547,2152600
2013-06-28,40.139999,40.709999,39.959999,40.369999,37.881153,2708600
2013-07-01,40.669998,40.860001,40.290001,40.320000,37.834225,1602300
2013-07-02,40.380001,40.669998,40.139999,40.230000,37.749775,1953100
2013-07-03,40.009998,40.450001,39.820000,40.299999,37.815464,831700
2013-07-05,40.720001,41.430000,40.580002,41.400002,38.847641,1527300
2013-07-08,41.610001,42.110001,41.590000,41.720001,39.147915,1807100
2013-07-09,41.959999,42.040001,41.450001,41.740002,39.166687,2054300
2013-07-10,41.750000,41.970001,41.470001,41.930000,39.344975,1299500
2013-07-11,42.520000,42.689999,42.119999,42.180000,39.579552,1952300
2013-07-12,42.200001,42.320000,41.700001,41.730000,39.157307,2183300
2013-07-15,41.740002,41.959999,41.560001,41.580002,39.016552,1977400
2013-07-16,41.660000,41.799999,41.380001,41.490002,38.932102,1655800
2013-07-17,41.650002,41.700001,41.040001,41.340000,38.791348,1792500
2013-07-18,41.549999,42.259998,41.360001,42.009998,39.420044,1540400
2013-07-19,41.950001,42.000000,41.080002,41.619999,39.054089,1702700
2013-07-22,41.529999,41.689999,41.320000,41.470001,38.913330,1163600
2013-07-23,41.549999,41.639999,40.889999,40.950001,38.425388,1402500
2013-07-24,41.049999,41.070000,40.160000,40.369999,37.881153,3310100
2013-07-25,40.369999,41.049999,40.299999,40.860001,38.340939,2768400
2013-07-26,40.660000,41.310001,40.509998,41.259998,38.716270,1236100
2013-07-29,41.080002,41.500000,40.869999,40.959999,38.434784,1633200
2013-07-30,41.209999,41.500000,41.110001,41.389999,38.838261,1422000
2013-07-31,41.480000,42.009998,41.250000,41.570000,39.007172,2936700
2013-08-01,40.939999,41.980000,40.900002,41.580002,39.016552,6797100
2013-08-02,41.549999,43.000000,41.410000,42.419998,39.804756,5179400
2013-08-05,42.240002,42.500000,41.950001,42.169998,39.570171,2662700
2013-08-06,42.160000,42.380001,41.630001,41.680000,39.110386,1773900
2013-08-07,41.619999,41.630001,40.970001,40.970001,38.444160,2323200
2013-08-08,41.189999,41.660000,40.900002,41.490002,38.932102,1383200
2013-08-09,41.400002,41.480000,40.910000,40.939999,38.416000,1511500
2013-08-12,40.610001,41.000000,40.509998,40.730000,38.218952,1681500
2013-08-13,40.759998,40.810001,40.189999,40.570000,38.068825,1370400
2013-08-14,40.450001,41.689999,40.340000,41.080002,38.547379,3434000
2013-08-15,40.980000,41.509998,40.759998,40.889999,38.369080,2947400
2013-08-16,40.820000,40.840000,40.360001,40.400002,37.909298,2164900
2013-08-19,40.400002,40.549999,40.200001,40.250000,37.768547,2239400
2013-08-20,40.160000,40.369999,39.970001,40.049999,37.740261,2089000
2013-08-21,39.970001,40.290001,39.580002,39.889999,37.589500,2182700
2013-08-22,39.959999,41.610001,39.799999,41.320000,38.937035,2515600
2013-08-23,41.439999,41.580002,40.910000,41.160000,38.786263,2936100
2013-08-26,41.160000,41.610001,40.950001,41.230000,38.852219,1551600
